StandAge	Value	CV	nVariable	nSite
2	0.6973	0.3	8	2
3.3333333333	17.1499	0.3	8	2
3.9166666667	33.0975	0.3	8	2
4.3333333333	49.4257	0.3	8	2
4.9166666667	59.0264	0.3	8	2
5.3333333333	76.3911	0.3	8	2
5.9166666667	93.5461	0.3	8	2
6.9166666667	130.2576	0.3	8	2
2	1.8342	0.3	8	3
3.3333333333	28.7414	0.3	8	3
3.9166666667	51.242	0.3	8	3
4.3333333333	76.4625	0.3	8	3
4.9166666667	88.7768	0.3	8	3
5.3333333333	108.7086	0.3	8	3
5.9166666667	127.9848	0.3	8	3
6.9166666667	172.062	0.3	8	3
2	1.737	0.3	8	4
3.3333333333	33.2384	0.3	8	4
3.9166666667	58.9669	0.3	8	4
4.3333333333	85.5463	0.3	8	4
4.9166666667	107.0077	0.3	8	4
5.3333333333	125.2173	0.3	8	4
5.9166666667	164.5243	0.3	8	4
6.9166666667	228.0716	0.3	8	4
2	2.1364	0.3	8	5
3.3333333333	41.365	0.3	8	5
3.9166666667	76.7453	0.3	8	5
4.3333333333	108.7193	0.3	8	5
4.9166666667	140.9551	0.3	8	5
5.3333333333	154.3308	0.3	8	5
5.9166666667	196.5941	0.3	8	5
6.9166666667	268.0397	0.3	8	5
1.3333333333	0.114	0.2	7	2
2	0.90602	0.2	7	2
3	7.83712	0.2	7	2
4.0833333333	21.21796	0.2	7	2
6.8333333333	75.23341	0.2	7	2
1.3333333333	0.18464	0.2	7	3
2	1.39964	0.2	7	3
3	11.82974	0.2	7	3
4.0833333333	30.62815	0.2	7	3
6.8333333333	94.87273	0.2	7	3
1.3333333333	0.1603	0.2	7	4
2	2.29964	0.2	7	4
3	12.81331	0.2	7	4
4.0833333333	31.71067	0.2	7	4
6.8333333333	115.0477	0.2	7	4
1.3333333333	0.16749	0.2	7	5
2	3.12067	0.2	7	5
3	21.8701	0.2	7	5
4.0833333333	46.02574	0.2	7	5
6.8333333333	130.0742	0.2	7	5
2	0.43	0.4	6	2
3	1.86	0.4	6	2
6.8333333333	24.13	0.4	6	2
2	0.45	0.4	6	3
3	2.27	0.4	6	3
6.8333333333	23.27	0.4	6	3
2	0.72	0.4	6	4
3	2.55	0.4	6	4
6.8333333333	27.36	0.4	6	4
2	0.78	0.4	6	5
3	2.93	0.4	6	5
6.8333333333	39.74	0.4	6	5
1.3333333333	0.07029	0.3	5	2
2	0.72954	0.3	5	2
3	2.16061	0.3	5	2
4.0833333333	4.58401	0.3	5	2
6.8333333333	9.6671	0.3	5	2
1.3333333333	0.07556	0.3	5	3
2	0.99234	0.3	5	3
3	3.15856	0.3	5	3
4.0833333333	5.43551	0.3	5	3
6.8333333333	11.63167	0.3	5	3
1.3333333333	0.0571	0.3	5	4
2	1.36672	0.3	5	4
3	2.95341	0.3	5	4
4.0833333333	5.64662	0.3	5	4
6.8333333333	11.14254	0.3	5	4
1.3333333333	0.0577	0.3	5	5
2	1.54226	0.3	5	5
3	4.34228	0.3	5	5
4.0833333333	6.90984	0.3	5	5
6.8333333333	10.27507	0.3	5	5
2	2.706	0.2	4	2
3.3333333333	7.16176	0.2	4	2
3.9166666667	9.44748	0.2	4	2
4.3333333333	11.30462	0.2	4	2
