ParName	min	max	mode	sd
StemPower	0.5	0.7	0.6	0.02
aH	0.1	2.8	1.45	0.27
bW	0.4	0.9	0.65	0.05
klmax	0.001	0.03	0.0155	0.0029
alpha	0.04	0.08	0.06	0.004
Tmin	6.8	10.2	8.5	0.34
krmax	0.003	0.005	0.004	0.0002
gammaF1	0.0216	0.0324	0.027	0.00108
fN0	0	0.5	0.25	0.05
rg	0.376	0.564	0.47	0.0188
rho1	0.33	0.54	0.435	0.021
gammaR	0.012	0.018	0.015	0.0006
Topt	12.8	17	14.9	0.42
MaxCond	0.016	0.024	0.02	0.0008
StemConst	1.15	1.5	1.325	0.035
pFS20	0.12	0.18	0.15	0.006
pRn	0.2	0.3	0.25	0.01
k	0.4	0.6	0.5	0.02
fracBB1	0.05	0.3	0.175	0.025
LAIgcx	2.664	3.996	3.33	0.1332
fullCanAge	2	5	3.5	0.3
pRx	0.64	0.96	0.8	0.032
CoeffCond	0.04	0.06	0.05	0.002
pFS2	0.8	1.2	1	0.04
hc	0.1	0.15	0.125	0.005
kF	0	3	1.5	0.3
SLA1	3.7	4.4	4.05	0.07
tBB	0.8	3	1.9	0.22
m0	0	0.2	0.1	0.02
tSLA	1.2	2	1.6	0.08
Tmax	32	40	36	0.8
MaxIntcptn	0.12	0.18	0.15	0.006
fracBB0	0.6	3.5	2.05	0.29
SLA0	10.5	14	12.25	0.35
BLcond	0.16	0.24	0.2	0.008
nAge	2	5	3.5	0.3
tgammaF	9.6	14.4	12	0.48
MaxAge	80	200	140	12
rAge	0.76	1	0.88	0.024
gammaF0	0.0008	0.0012	0.001	0.00004
komax	0.0004	0.0006	0.0005	0.00002
dmC	0.45	0.55	0.5	0.01
Yl_C_i	8	12	10	0.4
Yr_C_i	0	3	1.5	0.3
O_C_i	30	50	40	2
LAImaxIntcptn	0	0.05	0.025	0.005
FR_esp	0.2	0.8	0.5	0.06
FR_ferc	0.2	0.8	0.5	0.06
FR_ferf	0.4	1	0.7	0.06
FR_feri	0.2	0.8	0.5	0.06
FR_ferif	0.6	1	0.8	0.04

